Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ABI1,abl-interactor 1,10006,10:26748570-26860863,1,Yes,10p11.2,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"10006,ABI1,ENSG00000136754,Q8IZP0,SSH3BP1"
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,25,9:130835447-130885683,1,Yes,9q34.1,yes,,"CML, ALL, T-ALL",,,L,Dom,"oncogene, fusion","T, Mis","BCR, ETV6, NUP214",,,"25,ABL,ABL1,ENSG00000097007,P00519"
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",27,1:179107718-179143044,1,,1q24-q25,yes,,AML,,,L,Dom,"oncogene, fusion",T,ETV6,,,"27,ABL2,ABLL,ENSG00000143322,P42684"
ACKR3,atypical chemokine receptor 3,57007,2:236580466-236581554,1,Yes,2q37.3,yes,,lipoma,,,M,Dom,"oncogene, fusion",T,HMGA2,,,"A8K6J4,ACKR3,CMKOR1,CXCR7,ENSG00000144476,P25106,Q53RV4,Q8NE10,Q92938,Q92986"
ACSL3,acyl-CoA synthetase long-chain family member 3,2181,2:222908773-222941654,1,Yes,2q36,yes,,prostate,,,E,Dom,fusion,T,ETV1,,,"2181,ACSL3,ENSG00000123983,FACL3,O95573"
ACVR1,"activin A receptor, type I",90,2:157737531-157799493,1,Yes,2q23-q24,yes,,DIPG,,,O,Dom,oncogene,Mis,,yes,Fibrodysplasia ossificans progressiva,"90,ACVR1,ACVRLK2,ENSG00000115170,Q04771"
ACVR2A,activin A receptor type 2A,92,2:147845153-147927274,1,,2q22.3-q23.1,yes,,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",,,E,Rec,TSG,"Mis, N, F",,,,"92,ACVR2,ACVR2A,ENSG00000121989,P27037"
AFF1,"AF4/FMR2 family, member 1",4299,4:87007409-87135702,1,Yes,4q21,yes,,AL,,,L,Dom,fusion,T,KMT2A,,,"4299,AFF1,ENSG00000172493,MLLT2,P51825,PBM1"
AFF3,"AF4/FMR2 family, member 3",3899,2:99551474-100104454,1,Yes,2q11.2-q12,yes,,"ALL, T-ALL",,,L,Dom,"oncogene, fusion",T,"KMT2A, RUNX1",,,"3899,AFF3,ENSG00000144218,LAF4,P51826"
AFF4,"AF4/FMR2 family, member 4",27125,5:132881059-132937189,1,Yes,5q31,yes,,ALL,,,L,Dom,"oncogene, fusion",T,KMT2A,,,"27125,AFF4,ENSG00000072364,Q9UHB7"
AKT1,v-akt murine thymoma viral oncogene homolog 1,207,14:104770341-104792643,1,Yes,14q32.32,yes,,"breast, colorectal, ovarian, NSCLC",,,E,Dom,oncogene,Mis,,,,"207,AKT1,ENSG00000142208,P31749"
AKT2,v-akt murine thymoma viral oncogene homolog 2,208,19:40233872-40265267,1,,19q13.1-q13.2,yes,,"ovarian, pancreatic",,,E,Dom,oncogene,A,,,,"208,AKT2,ENSG00000105221,P31751"
